"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5388","contact-empty","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","6634","search-pliers","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","15052","home-grid","tablet-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","25706","product-detail","mobile-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","23729","contact-filled","mobile-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","5177","login-form","desktop-firefox","2026-06-26","failed","2026-06-26","auth","","",""
"","254","search-pliers","tablet-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","5953","home-grid","desktop-firefox","2026-06-26","failed","2026-06-26","home","","",""
"","8229","search-pliers","desktop-webkit","2026-06-26","failed","2026-06-26","catalog","","",""
"","6392","contact-empty","desktop-webkit","2026-06-26","failed","2026-06-26","contact","","",""
"","13082","login-form","mobile-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","6203","contact-filled","desktop-webkit","2026-06-26","failed","2026-06-26","contact","","",""
"","24851","search-pliers","desktop-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","25259","product-detail","tablet-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","15574","home-grid","mobile-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","8656","home-grid","desktop-webkit","2026-06-26","failed","2026-06-26","home","","",""
"","13079","login-form","desktop-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","6868","product-detail","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","23622","contact-filled","tablet-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","14739","home-grid","desktop-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","5075","login-form","desktop-webkit","2026-06-26","failed","2026-06-26","auth","","",""
"","13205","login-form","tablet-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","24197","contact-filled","desktop-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","5989","contact-filled","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","14850","contact-empty","desktop-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","25392","product-detail","desktop-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","13012","contact-empty","mobile-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","12594","contact-empty","tablet-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","214","search-pliers","mobile-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","8172","product-detail","desktop-webkit","2026-06-26","failed","2026-06-26","catalog","","",""
