"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5547","product-detail","desktop-webkit","2026-07-17","passed","2026-07-17","catalog","","",""
"","2182","contact-filled","desktop-chromium","2026-07-17","passed","2026-07-17","contact","","",""
"","60371","search-pliers","desktop-chromium","2026-07-17","broken","2026-07-17","catalog","","",""
"","1997","login-form","desktop-chromium","2026-07-17","passed","2026-07-17","auth","","",""
"","8061","login-form","desktop-webkit","2026-07-17","failed","2026-07-17","auth","","",""
"","6362","product-detail","desktop-chromium","2026-07-17","passed","2026-07-17","catalog","","",""
"","2118","contact-empty","desktop-chromium","2026-07-17","passed","2026-07-17","contact","","",""
"","60916","search-pliers","desktop-firefox","2026-07-17","broken","2026-07-17","catalog","","",""
"","7115","contact-filled","desktop-webkit","2026-07-17","failed","2026-07-17","contact","","",""
"","5407","contact-empty","mobile-chromium","2026-07-17","failed","2026-07-17","contact","","",""
"","2812","contact-filled","desktop-firefox","2026-07-17","passed","2026-07-17","contact","","",""
"","8692","contact-empty","desktop-firefox","2026-07-17","passed","2026-07-17","contact","","",""
"","10045","product-detail","desktop-firefox","2026-07-17","passed","2026-07-17","catalog","","",""
"","4121","home-grid","desktop-firefox","2026-07-17","passed","2026-07-17","home","","",""
"","4959","contact-empty","tablet-chromium","2026-07-17","failed","2026-07-17","contact","","",""
"","4560","contact-filled","mobile-chromium","2026-07-17","failed","2026-07-17","contact","","",""
"","17949","home-grid","tablet-chromium","2026-07-17","failed","2026-07-17","home","","",""
"","60519","search-pliers","desktop-webkit","2026-07-17","broken","2026-07-17","catalog","","",""
"","10842","product-detail","tablet-chromium","2026-07-17","failed","2026-07-17","catalog","","",""
"","18549","home-grid","mobile-chromium","2026-07-17","failed","2026-07-17","home","","",""
"","229","search-pliers","mobile-chromium","2026-07-17","skipped","2026-07-17","catalog","","",""
"","5129","contact-empty","desktop-webkit","2026-07-17","passed","2026-07-17","contact","","",""
"","14260","product-detail","mobile-chromium","2026-07-17","failed","2026-07-17","catalog","","",""
"","4332","login-form","mobile-chromium","2026-07-17","failed","2026-07-17","auth","","",""
"","8886","home-grid","desktop-webkit","2026-07-17","passed","2026-07-17","home","","",""
"","3240","home-grid","desktop-chromium","2026-07-17","passed","2026-07-17","home","","",""
"","245","search-pliers","tablet-chromium","2026-07-17","skipped","2026-07-17","catalog","","",""
"","4750","contact-filled","tablet-chromium","2026-07-17","failed","2026-07-17","contact","","",""
"","3301","login-form","desktop-firefox","2026-07-17","passed","2026-07-17","auth","","",""
"","7343","login-form","tablet-chromium","2026-07-17","failed","2026-07-17","auth","","",""
