"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7792","search-pliers","desktop-webkit","2026-06-26","failed","2026-06-26","catalog","","",""
"","5259","home-grid","desktop-firefox","2026-06-26","failed","2026-06-26","home","","",""
"","7884","home-grid","desktop-webkit","2026-06-26","failed","2026-06-26","home","","",""
"","4870","login-form","desktop-firefox","2026-06-26","failed","2026-06-26","auth","","",""
"","5138","login-form","desktop-webkit","2026-06-26","failed","2026-06-26","auth","","",""
"","24983","search-pliers","desktop-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","5601","contact-empty","desktop-webkit","2026-06-26","failed","2026-06-26","contact","","",""
"","60196","product-detail","desktop-chromium","2026-06-26","broken","2026-06-26","catalog","","",""
"","12479","login-form","desktop-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","25554","product-detail","tablet-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","5716","search-pliers","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","4838","contact-empty","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","23563","contact-filled","desktop-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","12822","login-form","tablet-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","25320","product-detail","mobile-chromium","2026-06-26","failed","2026-06-26","catalog","","",""
"","12638","login-form","mobile-chromium","2026-06-26","failed","2026-06-26","auth","","",""
"","12771","contact-empty","mobile-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","14527","home-grid","mobile-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","13026","contact-empty","tablet-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","8656","product-detail","desktop-webkit","2026-06-26","failed","2026-06-26","catalog","","",""
"","213","search-pliers","tablet-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","6372","contact-filled","desktop-webkit","2026-06-26","failed","2026-06-26","contact","","",""
"","193","search-pliers","mobile-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","6758","contact-filled","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","14188","contact-empty","desktop-chromium","2026-06-26","failed","2026-06-26","contact","","",""
"","60302","contact-filled","mobile-chromium","2026-06-26","broken","2026-06-26","contact","","",""
"","6510","product-detail","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","15424","home-grid","tablet-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","14141","home-grid","desktop-chromium","2026-06-26","failed","2026-06-26","home","","",""
"","23609","contact-filled","tablet-chromium","2026-06-26","failed","2026-06-26","contact","","",""
