"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13172","home-grid","mobile-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","2965","contact-filled","tablet-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","82","home-grid","desktop-firefox","2026-06-26","failed","2026-06-26","home","","",""
"","73","contact-empty","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","307","search-pliers","tablet-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","2982","contact-empty","mobile-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","25399","search-pliers","desktop-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","14302","home-grid","desktop-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","5502","contact-filled","desktop-webkit","2026-06-26","passed","2026-06-26","contact","","",""
"","6473","home-grid","desktop-webkit","2026-06-26","passed","2026-06-26","home","","",""
"","3101","contact-filled","mobile-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","66","product-detail","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","4794","login-form","desktop-webkit","2026-06-26","passed","2026-06-26","auth","","",""
"","6332","product-detail","desktop-webkit","2026-06-26","passed","2026-06-26","catalog","","",""
"","3130","contact-empty","desktop-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","71","contact-filled","desktop-firefox","2026-06-26","failed","2026-06-26","contact","","",""
"","24393","product-detail","mobile-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","3384","contact-filled","desktop-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","5214","contact-empty","desktop-webkit","2026-06-26","passed","2026-06-26","contact","","",""
"","8529","search-pliers","desktop-webkit","2026-06-26","passed","2026-06-26","catalog","","",""
"","228","search-pliers","mobile-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","24490","product-detail","desktop-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","24199","product-detail","tablet-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","3119","login-form","desktop-chromium","2026-06-26","passed","2026-06-26","auth","","",""
"","72","search-pliers","desktop-firefox","2026-06-26","failed","2026-06-26","catalog","","",""
"","2364","contact-empty","tablet-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","2412","login-form","mobile-chromium","2026-06-26","passed","2026-06-26","auth","","",""
"","13117","home-grid","tablet-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","3269","login-form","tablet-chromium","2026-06-26","passed","2026-06-26","auth","","",""
"","65","login-form","desktop-firefox","2026-06-26","failed","2026-06-26","auth","","",""
