"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","search-pliers","mobile-chromium","2026-09-07","skipped","2026-09-07","catalog","","",""
"","7543","search-pliers","desktop-webkit","2026-09-07","failed","2026-09-07","catalog","","",""
"","6817","product-detail","desktop-webkit","2026-09-07","failed","2026-09-07","catalog","","",""
"","4986","contact-filled","desktop-firefox","2026-09-07","failed","2026-09-07","contact","","",""
"","3309","contact-filled","desktop-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","3600","contact-empty","desktop-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","7066","product-detail","desktop-firefox","2026-09-07","failed","2026-09-07","catalog","","",""
"","2669","contact-filled","mobile-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","2582","contact-empty","tablet-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","6538","home-grid","desktop-webkit","2026-09-07","failed","2026-09-07","home","","",""
"","10287","home-grid","tablet-chromium","2026-09-07","failed","2026-09-07","home","","",""
"","3","search-pliers","tablet-chromium","2026-09-07","skipped","2026-09-07","catalog","","",""
"","5542","home-grid","desktop-firefox","2026-09-07","failed","2026-09-07","home","","",""
"","2718","contact-filled","tablet-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","5133","contact-filled","desktop-webkit","2026-09-07","failed","2026-09-07","contact","","",""
"","2045","login-form","mobile-chromium","2026-09-07","failed","2026-09-07","auth","","",""
"","4714","login-form","desktop-firefox","2026-09-07","failed","2026-09-07","auth","","",""
"","4976","contact-empty","desktop-firefox","2026-09-07","failed","2026-09-07","contact","","",""
"","2746","login-form","tablet-chromium","2026-09-07","failed","2026-09-07","auth","","",""
"","20066","search-pliers","desktop-chromium","2026-09-07","failed","2026-09-07","catalog","","",""
"","3295","login-form","desktop-chromium","2026-09-07","failed","2026-09-07","auth","","",""
"","2201","contact-empty","mobile-chromium","2026-09-07","failed","2026-09-07","contact","","",""
"","9569","product-detail","mobile-chromium","2026-09-07","failed","2026-09-07","catalog","","",""
"","4458","contact-empty","desktop-webkit","2026-09-07","failed","2026-09-07","contact","","",""
"","4745","login-form","desktop-webkit","2026-09-07","failed","2026-09-07","auth","","",""
"","6495","search-pliers","desktop-firefox","2026-09-07","failed","2026-09-07","catalog","","",""
"","27053","home-grid","desktop-chromium","2026-09-07","failed","2026-09-07","home","","",""
"","9950","product-detail","tablet-chromium","2026-09-07","failed","2026-09-07","catalog","","",""
"","20778","home-grid","mobile-chromium","2026-09-07","failed","2026-09-07","home","","",""
"","10352","product-detail","desktop-chromium","2026-09-07","failed","2026-09-07","catalog","","",""
